feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
CON10	-1.56142333600028	-4.72750588500072	-1.82218003470925	-3.72285892150068	-5.75361957544897	-3.85227532987849	-3.67369262554798	-6.02914426606142	-5.33498456714977	-6.54696649471334	-8.38403111346722	-7.42269563230138	-6.91259069361404	-7.84640041391957	-19.9986317453378	-11.380513773145	-22.2533131417301	-8.02983284854568	-9.41128612193979	-5.58491682196354	-15.8399453917823
CON11	-1.39593363233445	-5.27848538963019	-3.59052889558571	-3.55631084814643	-7.30880992648699	-3.8579041792533	-2.28089188733729	-4.59393592044635	-4.617587188511	-5.99160424184203	-9.12879245687234	-7.10335471589321	-8.58891784567973	-7.69275365666427	-19.9986317453378	-10.1911583378327	-22.2533131417301	-7.27234298528657	-6.31353233672939	-6.51861939335391	-15.5661977691796
CON12	-1.98004822721335	-6.33684854027523	-4.66484971568774	-2.70639389514765	-0.986342408752986	-11.6880709419566	-10.4343143497108	-10.019276850432	-8.90201079826226	-11.5140415421816	-13.3885106600977	-12.2185856586554	-18.8628613085084	-14.6515450659315	-13.5140415421816	-5.2131690355325	-22.2533131417301	-15.9734731608189	-8.41123073659781	-8.967848611625	-17.7993417072643
CON13	-1.28440636965994	-4.43999109829729	-2.8530689519727	-3.11321461181937	-6.20595148119998	-5.43100697975158	-3.88121650299645	-5.0228897914684	-4.52878447089795	-7.15616237023924	-6.03929387182341	-6.64257655575136	-9.44877962541972	-7.89367641339167	-10.1316955027637	-14.6106673077966	-22.2533131417301	-7.57834602073873	-4.87223722004183	-4.93965706651816	-17.7993417072643
CON14	-2.85751978422821	-4.34546474095674	-5.24301811287168	-6.16198776115731	-4.18356196383341	-3.77836057378076	-0.798453843363692	-4.86661481854789	-6.86912603770394	-8.04328433585218	-16.9085020822958	-10.1942565646297	-18.8628613085084	-9.1988438341253	-19.9986317453378	-12.264645892521	-13.6861096609593	-12.5865739874084	-15.3235395815746	-5.64856270699715	-17.7993417072643
CON15	-1.18807812540442	-5.09629545133502	-3.37572314951442	-3.25033714978714	-4.75400009422366	-5.28175561552518	-4.29189015669471	-4.27801405781656	-4.2483462916332	-5.96442827770076	-5.00029731999944	-6.04176278791973	-13.0368060144359	-8.48746742344551	-19.9986317453378	-10.1182336137798	-22.2533131417301	-5.79723659026446	-10.4518435137148	-5.18262178722658	-17.7993417072643
CON16	-1.92830903239755	-3.45721531460838	-1.5456096751322	-3.40410643217716	-4.67333434363337	-5.72144788081483	-5.9737976298379	-4.84509416500503	-4.65817717451883	-7.906619860928	-7.33626780997104	-7.50387210176899	-13.6150919260587	-7.19479209075402	-11.896862894474	-14.2473601415582	-22.2533131417301	-10.8550427187794	-10.1098566178082	-4.78710904261433	-17.7993417072643
CON17	-1.44789238901469	-3.63644873058283	-2.29594959504263	-3.58939721800746	-7.20845908666237	-8.63663198813035	-5.60796222106491	-4.07880252419918	-4.56949280123548	-8.05166948740919	-7.26399693121329	-5.26116867106247	-9.4142395667939	-11.9352903036949	-19.9986317453378	-11.2215944888515	-22.2533131417301	-4.05607466652919	-6.83683705738559	-5.1639328947043	-17.7993417072643
CON18	-1.60535908196093	-5.19823819627318	-1.53914861632417	-3.88354237046491	-4.45801736588575	-7.05301953858347	-6.18396426116973	-5.78173910554054	-4.59248928170989	-8.71985169259234	-7.90384011870477	-8.07637941953809	-8.52980804895376	-4.81157558101049	-10.1881071616166	-9.0835646818371	-16.5368353158477	-7.26303971663346	-6.77403805334949	-4.68528145741795	-14.0132733597907
CON19	-1.95504182090493	-5.19607385820444	-3.51875790779016	-3.85601531009028	-4.52723387706112	-9.09463079001817	-6.70788069407457	-5.1373580052116	-5.8341954866725	-5.74460162114316	-8.15280640430027	-4.58404113110691	-13.9341661178249	-7.68623860438134	-19.9986317453378	-1.49455391511886	-9.63906181101327	-6.63761210895772	-10.7812141949863	-5.48904233587151	-17.7993417072643
CON20	-1.72206253748294	-4.90046463009352	-1.37267706784326	-4.12435418792751	-6.85698386791692	-5.16708113990503	-4.08424628072714	-5.13607861716203	-3.76761225828318	-7.74600144304418	-10.6327447122538	-13.3903465991143	-18.8628613085084	-15.0250621350326	-19.9986317453378	-21.2533131417301	-17.2729896484762	-9.3422523109133	-18.2729896484762	-5.99730160809136	-17.7993417072643
CON21	-1.28768450181931	-5.31340984026287	-3.3284422332044	-3.30147304947596	-4.84102285810618	-5.77996518692699	-3.82149078902884	-4.18442039545833	-3.88717163355583	-7.83298188216279	-6.46214418679448	-6.03500854499777	-6.04976673443971	-6.09968660263701	-19.9986317453378	-7.61921826978695	-22.2533131417301	-6.76583793295983	-12.5813383861159	-4.54737826802683	-17.7993417072643
CON22	-0.990511088938538	-5.47952093611532	-3.18371234724837	-3.54437770762698	-5.97635054853043	-4.59453833513836	-4.02748810262948	-4.28605273856766	-5.0595961033307	-8.441571581888	-5.10377816529732	-7.70321944745083	-14.7634996767754	-9.94430314207325	-19.9986317453378	-6.66952352856635	-17.4639393949165	-9.0673346137346	-7.26304078987801	-5.46288312028168	-17.7993417072643
CON23	-1.13443107158407	-5.43367826939577	-2.92797585221995	-3.49089665271903	-5.10564037163144	-7.70149699229914	-5.36314393207045	-3.68175605470271	-3.82881840687749	-3.99743978598197	-14.8691081279032	-7.88304731886108	-10.0342724694235	-7.82051646400409	-19.9986317453378	-7.6922637125211	-22.2533131417301	-10.6270333407051	-12.8146603438808	-5.90443403570905	-17.7993417072643
